['time:901900800000', 'tradeDate:901900800000', 'open:7557', 'high:7609', 'low:7550', 'close:7609', 'volume:378']
['time:902073600000', 'tradeDate:902073600000', 'open:7640', 'high:7657', 'low:7542', 'close:7552', 'volume:293']
['time:902160000000', 'tradeDate:902160000000', 'open:7555', 'high:7600', 'low:7548', 'close:7560', 'volume:302']
['time:902246400000', 'tradeDate:902246400000', 'open:7510', 'high:7520', 'low:7470', 'close:7487', 'volume:455']
['time:902332800000', 'tradeDate:902332800000', 'open:7515', 'high:7525', 'low:7451', 'close:7462', 'volume:270']
['time:902419200000', 'tradeDate:902419200000', 'open:7480', 'high:7520', 'low:7452', 'close:7515', 'volume:453']
['time:902678400000', 'tradeDate:902678400000', 'open:7500', 'high:7500', 'low:7350', 'close:7365', 'volume:345']
['time:902764800000', 'tradeDate:902764800000', 'open:7316', 'high:7379', 'low:7316', 'close:7360', 'volume:386']
['time:902851200000', 'tradeDate:902851200000', 'open:7335', 'high:7335', 'low:7281', 'close:7330', 'volume:384']
['time:902937600000', 'tradeDate:902937600000', 'open:7360', 'high:7378', 'low:7291', 'close:7291', 'volume:496']
['time:903024000000', 'tradeDate:903024000000', 'open:7275', 'high:7326', 'low:7140', 'close:7320', 'volume:528']
['time:903110400000', 'tradeDate:903110400000', 'open:7261', 'high:7338', 'low:7261', 'close:7300', 'volume:361']
['time:903283200000', 'tradeDate:903283200000', 'open:7285', 'high:7285', 'low:7219', 'close:7219', 'volume:308']
['time:903369600000', 'tradeDate:903369600000', 'open:7250', 'high:7250', 'low:7165', 'close:7220', 'volume:574']
['time:903456000000', 'tradeDate:903456000000', 'open:7269', 'high:7300', 'low:7260', 'close:7285', 'volume:543']
['time:903542400000', 'tradeDate:903542400000', 'open:7300', 'high:7300', 'low:7253', 'close:7274', 'volume:322']
['time:903628800000', 'tradeDate:903628800000', 'open:7255', 'high:7255', 'low:7220', 'close:7225', 'volume:301']
['time:903888000000', 'tradeDate:903888000000', 'open:7172', 'high:7175', 'low:6955', 'close:6955', 'volume:919']
['time:903974400000', 'tradeDate:903974400000', 'open:6938', 'high:6970', 'low:6844', 'close:6949', 'volume:780']
['time:904060800000', 'tradeDate:904060800000', 'open:6990', 'high:7014', 'low:6790', 'close:6790', 'volume:839']
['time:904147200000', 'tradeDate:904147200000', 'open:6681', 'high:6850', 'low:6651', 'close:6835', 'volume:1137']
['time:904233600000', 'tradeDate:904233600000', 'open:6699', 'high:6820', 'low:6655', 'close:6695', 'volume:1285']
['time:904320000000', 'tradeDate:904320000000', 'open:6700', 'high:6780', 'low:6700', 'close:6728', 'volume:698']
['time:904492800000', 'tradeDate:904492800000', 'open:6750', 'high:6756', 'low:6566', 'close:6566', 'volume:922']
['time:904579200000', 'tradeDate:904579200000', 'open:6352', 'high:6410', 'low:6216', 'close:6410', 'volume:1584']
['time:904665600000', 'tradeDate:904665600000', 'open:6494', 'high:6495', 'low:6380', 'close:6430', 'volume:1417']
['time:904752000000', 'tradeDate:904752000000', 'open:6400', 'high:6400', 'low:6200', 'close:6200', 'volume:1459']
['time:904838400000', 'tradeDate:904838400000', 'open:6120', 'high:6400', 'low:6120', 'close:6399', 'volume:1789']
['time:904924800000', 'tradeDate:904924800000', 'open:6420', 'high:6710', 'low:6420', 'close:6700', 'volume:2198']
['time:905097600000', 'tradeDate:905097600000', 'open:6730', 'high:6769', 'low:6603', 'close:6719', 'volume:1632']
['time:905184000000', 'tradeDate:905184000000', 'open:6719', 'high:6870', 'low:6700', 'close:6865', 'volume:1410']
['time:905270400000', 'tradeDate:905270400000', 'open:6930', 'high:6931', 'low:6735', 'close:6770', 'volume:1901']
['time:905356800000', 'tradeDate:905356800000', 'open:6720', 'high:6798', 'low:6702', 'close:6730', 'volume:1371']
['time:905443200000', 'tradeDate:905443200000', 'open:6680', 'high:6769', 'low:6630', 'close:6769', 'volume:1804']
['time:905702400000', 'tradeDate:905702400000', 'open:6789', 'high:6849', 'low:6769', 'close:6818', 'volume:871']
['time:905788800000', 'tradeDate:905788800000', 'open:6840', 'high:6850', 'low:6780', 'close:6825', 'volume:612']
['time:905875200000', 'tradeDate:905875200000', 'open:6815', 'high:6995', 'low:6815', 'close:6995', 'volume:732']
['time:905961600000', 'tradeDate:905961600000', 'open:6945', 'high:6964', 'low:6892', 'close:6906', 'volume:1979']
['time:906048000000', 'tradeDate:906048000000', 'open:6840', 'high:6876', 'low:6832', 'close:6842', 'volume:1470']
['time:906134400000', 'tradeDate:906134400000', 'open:6859', 'high:7040', 'low:6855', 'close:7039', 'volume:2339']
['time:906307200000', 'tradeDate:906307200000', 'open:7035', 'high:7060', 'low:6850', 'close:6861', 'volume:2307']
['time:906393600000', 'tradeDate:906393600000', 'open:6930', 'high:6958', 'low:6855', 'close:6926', 'volume:1715']
['time:906480000000', 'tradeDate:906480000000', 'open:6900', 'high:6946', 'low:6850', 'close:6852', 'volume:1773']
['time:906566400000', 'tradeDate:906566400000', 'open:6940', 'high:6940', 'low:6870', 'close:6890', 'volume:1403']
['time:906652800000', 'tradeDate:906652800000', 'open:6856', 'high:6881', 'low:6771', 'close:6871', 'volume:1928']
['time:906912000000', 'tradeDate:906912000000', 'open:6860', 'high:6880', 'low:6801', 'close:6840', 'volume:1132']
['time:906998400000', 'tradeDate:906998400000', 'open:6870', 'high:6875', 'low:6780', 'close:6806', 'volume:1389']
['time:907084800000', 'tradeDate:907084800000', 'open:6806', 'high:6827', 'low:6751', 'close:6787', 'volume:1239']
['time:907171200000', 'tradeDate:907171200000', 'open:6738', 'high:6745', 'low:6620', 'close:6620', 'volume:2073']
['time:907257600000', 'tradeDate:907257600000', 'open:6530', 'high:6530', 'low:6311', 'close:6398', 'volume:2532']
['time:907344000000', 'tradeDate:907344000000', 'open:6398', 'high:6555', 'low:6398', 'close:6550', 'volume:2383']
['time:907603200000', 'tradeDate:907603200000', 'open:6490', 'high:6493', 'low:6320', 'close:6450', 'volume:2007']
['time:907689600000', 'tradeDate:907689600000', 'open:6469', 'high:6640', 'low:6469', 'close:6639', 'volume:2348']
['time:907776000000', 'tradeDate:907776000000', 'open:6600', 'high:7035', 'low:6600', 'close:6981', 'volume:3281']
